sampleid,PHt,Hs_obs,Hs_exp,IR,HL,HL_all
1681,0.8,1.18614020950846,1.17325385961568,-0.139980638915779,0.170347235458216,0.169674360585626
1682,0.45,0.667203867848509,0.659955296033822,0.33627254509018,0.505626981789198,0.50152596580411
1687,0.75,1.11200644641418,1.0999254933897,-0.0592976396085205,0.206703862214752,0.212419692180715
1689,0.75,1.11200644641418,1.0999254933897,-0.0932857991681521,0.193595896938298,0.191803209499067
320,0.75,1.11200644641418,1.0999254933897,-0.0961080222398728,0.230381369882002,0.233809005730578
382,0.75,1.11200644641418,1.0999254933897,-0.096325719960278,0.208263302895362,0.20954971347108
704105,0.6,0.889605157131346,0.879940394711763,0.143355965082444,0.359056884930605,0.365685465339849
952,0.7,1.0378726833199,1.02659712716372,-0.0850884582982307,0.240240500407187,0.238147269299669
AIFAO15-11,0.65,0.963738920225624,0.953268760937743,0.106128550074738,0.348188449742692,0.352746644657244
AIFAO16507,0.5,0.741337630942788,0.733283662259803,0.220999153259949,0.446333581688701,0.449525421821217
AO27121649,0.7,1.0378726833199,1.02659712716372,0.0147255689424364,0.265828322908184,0.270203806004446
AO3999183,0.5,0.741337630942788,0.733283662259803,0.224283305227656,0.41901737910003,0.421068551223493
AO414-17-3-NL,0.8,1.18614020950846,1.17325385961568,-0.1213102266235,0.15246564898723,0.15759840931899
AO414-17-5,0.75,1.11200644641418,1.0999254933897,-0.040135669869983,0.211932320274462,0.21528920193958
AO59381830,0.8,1.18614020950846,1.17325385961568,-0.109269027882442,0.163494360022872,0.161984505866574
AO7422181NL,0.65,0.963738920225624,0.953268760937743,0.0573399014778326,0.323016478089859,0.326669230264207
AO7956-17-18,0.8,1.18614020950846,1.17325385961568,-0.0760233918128655,0.138551972692461,0.139056564841823
AO79561654,0.85,1.26027397260274,1.24658222584166,-0.153817779417189,0.10484639509296,0.107756445728327
AO79561656,0.75,1.11200644641418,1.0999254933897,-0.0562571756601607,0.203749588480932,0.208927884750659
CZ005,0.65,0.963738920225624,0.953268760937743,0.0333400687007476,0.293213833971549,0.296891325348665
G14223,0.7,1.0378726833199,1.02659712716372,-0.0467289719626169,0.239815985999688,0.249249209817953
G17267,0.5,0.741337630942788,0.733283662259803,0.276871684024366,0.468624919862076,0.469920559739639
G200055,0.6,0.889605157131346,0.879940394711763,0.0960081883316275,0.387087831164556,0.385328875174684
G200056,0.8,1.18614020950846,1.17325385961568,-0.186140209508461,0.147146223554485,0.147411391752094
G200059,0.65,0.963738920225624,0.953268760937743,-0.0252893270467209,0.295067835669607,0.297316194745876
G200060,0.8,1.18614020950846,1.17325385961568,-0.183517587939698,0.144460520160103,0.148825747273051
G200061,0.6,0.889605157131346,0.879940394711763,0.0989593960416241,0.388019163793253,0.392705470779678
G200062,0.75,1.11200644641418,1.0999254933897,-0.125152874031798,0.221055048256025,0.221461531968374
G200063,0.6,0.889605157131346,0.879940394711763,0.0439489066897598,0.31110841578154,0.313325705067482
G200064,0.75,1.11200644641418,1.0999254933897,-0.0708050436469447,0.240994230069482,0.24222573414243
G200065,0.65,0.963738920225624,0.953268760937743,-0.0237534774234967,0.285360317432814,0.286999746766584
G200067,0.65,0.963738920225624,0.953268760937743,-0.00251466890192791,0.302535823817857,0.304373903827576
G200068,0.7,1.0378726833199,1.02659712716372,-0.0497147514262429,0.277589104707778,0.282596299040527
G200069,0.6,0.889605157131346,0.879940394711763,0.0847668393782383,0.317532445029716,0.316826422562159
G200070,0.85,1.26027397260274,1.24658222584166,-0.161314275106738,0.149216814235961,0.146188368145112
G200071,0.6,0.889605157131346,0.879940394711763,0.111826226870475,0.36648588706184,0.371074178632727
G200073,0.65,0.963738920225624,0.953268760937743,0.0154352747478906,0.28405211997297,0.286927997298844
G200529,0.6,0.889605157131346,0.879940394711763,0.111468812877264,0.346382097620987,0.353213719623714
G200531,0.65,0.963738920225624,0.953268760937743,0.0586383313656042,0.294851246686189,0.298969715159303
G200532,0.65,0.963738920225624,0.953268760937743,0.0391644908616189,0.285364649212483,0.283804316222883
