f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3120_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3120_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3120_inv.jpg,1378,042
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2083_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2083_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2083_inv.jpg,1681,043
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 210_1385 2021-10-26 Snap-3066_inv.jpg,Ruff 210_1385 2021-10-26 Snap-3066_inv.jpg,210,Ruff 210_1385 2021-10-26 Snap-3066_inv.jpg,1385,044
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 206_1367 2021-10-25 Snap-2950_inv.jpg,Ruff 206_1367 2021-10-25 Snap-2950_inv.jpg,206,Ruff 206_1367 2021-10-25 Snap-2950_inv.jpg,1367,045
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 019_704105 2021-05-20 Snap-0787_inv.jpg,Ruff 019_704105 2021-05-20 Snap-0787_inv.jpg,019,Ruff 019_704105 2021-05-20 Snap-0787_inv.jpg,704105,046
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 188_1384 2021-10-19 Snap-2607_inv.jpg,Ruff 188_1384 2021-10-19 Snap-2607_inv.jpg,188,Ruff 188_1384 2021-10-19 Snap-2607_inv.jpg,1384,047
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 159_G200059 2021-07-26 Snap-1713_inv.jpg,Ruff 159_G200059 2021-07-26 Snap-1713_inv.jpg,159,Ruff 159_G200059 2021-07-26 Snap-1713_inv.jpg,G200059,048
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1272_inv.jpg,Ruff 096_382 2021-06-10 Snap-1272_inv.jpg,096,Ruff 096_382 2021-06-10 Snap-1272_inv.jpg,382,049
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 225_1360 2021-10-14 Snap-2418_inv.jpg,Ruff 225_1360 2021-10-14 Snap-2418_inv.jpg,225,Ruff 225_1360 2021-10-14 Snap-2418_inv.jpg,1360,050
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 019_704105 2021-05-20 Snap-0788_inv.jpg,Ruff 019_704105 2021-05-20 Snap-0788_inv.jpg,019,Ruff 019_704105 2021-05-20 Snap-0788_inv.jpg,704105,051
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 210_1385 2021-10-26 Snap-3063_inv.jpg,Ruff 210_1385 2021-10-26 Snap-3063_inv.jpg,210,Ruff 210_1385 2021-10-26 Snap-3063_inv.jpg,1385,052
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0914_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0914_inv.jpg,051,Ruff 051_1310 2021-05-21 Snap-0914_inv.jpg,1310,053
