pic,File Name,Pixels,measured,part,manip,f,f2,sample_ID,file_name,bird_ID
007,007 (27).png,353.994949366117,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,1395
007,007 (28).png,1053.28035442906,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,1395
008,008 (29).png,64.4401541651497,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,1378
008,008 (30).png,372.476069382174,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,1378
008,008 (31).png,308.562558354905,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,1378
008,008 (32).png,1123.69592884252,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,1378
009,009 (33).png,61.4449610585567,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,1378
009,009 (34).png,420.915071490685,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,1378
009,009 (35).png,336.505506633697,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,1378
009,009 (36).png,1144.84902186188,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,1378
010,010 (37).png,62.5698549810895,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,158,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,1377
010,010 (38).png,358.982747213683,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,158,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,1377
010,010 (39).png,313.820893461093,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,158,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,1377
010,010 (40).png,1158.25437327129,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,158,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,1377
011,011 (41).png,45.7810753346276,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,382
011,011 (42).png,375.308657865102,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,382
011,011 (43).png,309.853320872986,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,382
011,011 (44).png,1065.8313062235,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,382
012,012 (45).png,53.2115614521038,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,123,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,1326
012,012 (46).png,315.131256243037,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,123,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,1326
012,012 (47).png,298.912568677518,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,123,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,1326
012,012 (48).png,1098.37278525569,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,123,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,1326
013,013 (49).png,54.2568110240407,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,1395
013,013 (50).png,365.407053200207,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,1395
013,013 (51).png,348.29163895118,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,1395
013,013 (52).png,1065.16453658544,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,1395
014,014 (53).png,58.2968974360833,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,194,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,G200061
014,014 (54).png,344.154496204164,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,194,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,G200061
014,014 (55).png,283.056391473275,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,194,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,G200061
014,014 (56).png,887.815072287502,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,194,Ruff 194_G200061 2021-10-20 Snap-2637_inv.jpg,G200061
015,015 (57).png,45.9930326438628,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,191,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,1351
015,015 (58).png,467.30981640002,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,191,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,1351
015,015 (59).png,293.040688210592,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,191,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,1351
015,015 (60).png,1106.63690275932,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,191,Ruff 191_1351 2021-10-19 Snap-2582_inv.jpg,1351
016,016 (61).png,42.3960849470909,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,382
016,016 (62).png,356.438825208794,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,382
016,016 (63).png,307.739733225076,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,382
016,016 (64).png,1048.3744607748,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,96,Ruff 096_382 2021-06-10 Snap-1290_inv.jpg,382
017,017 (65).png,53.7797120144538,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,23,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,1347
017,017 (66).png,320.360380849596,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,23,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,1347
017,017 (67).png,285.53494388522,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,23,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,1347
017,017 (68).png,1102.67196389153,2022-03-21 14-28-42,Tail,erT,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,23,Ruff 023_1347 2021-05-20 Snap-0836_inv.jpg,1347
018,018 (69).png,48.2132034355964,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,134,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,G200531
018,018 (70).png,357.900653471529,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,134,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,G200531
018,018 (71).png,282.700192761467,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,134,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,G200531
018,018 (72).png,1077.84438039831,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,134,Ruff 134_G200531 2021-07-13 Snap-1570_inv.jpg,G200531
019,019 (73).png,56.2120185594775,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,173,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,1336
019,019 (74).png,354.899486092997,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,173,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,1336
019,019 (75).png,310.325901807805,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,173,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,1336
019,019 (76).png,1033.37587969792,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,173,Ruff 173_1336 2021-10-13 Snap-2369_inv.jpg,1336
020,020 (77).png,50.0705570974746,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,1681
020,020 (78).png,344.966670649512,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,1681
020,020 (79).png,326.055871679781,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,1681
020,020 (80).png,1088.10812106568,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2085_inv.jpg,1681
021,021 (81).png,55.586300249954,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 041_cz005 2021-05-25 Snap-1035_inv.jpg,Ruff 041_cz005 2021-05-25 Snap-1035_inv.jpg,41,Ruff 041_cz005 2021-05-25 Snap-1035_inv.jpg,cz005
